user_id,name,persona_type,age,gender,acquisition_channel,signup_date
d8d36557,최성윤,new_explorer,22,M,search_ad,2025-12-06
75a2d70d,신유안,new_explorer,28,F,search_ad,2024-04-24
e38e3959,한준서,new_explorer,26,M,SNS,2026-01-02
5c343852,권성준,new_explorer,30,M,email,2024-12-29
2b1535fc,전예윤,new_explorer,35,F,SNS,2024-06-14
0edbc634,오시은,new_explorer,27,M,direct,2025-05-07
d75c29e6,강성호,new_explorer,39,M,SNS,2024-01-13
bf8b577d,윤민아,new_explorer,20,F,direct,2024-06-09
d347c167,서태서,new_explorer,27,M,SNS,2024-05-30
49009c2f,윤도빈,new_explorer,35,F,direct,2024-05-12
9b452d78,홍지율,new_explorer,26,F,direct,2026-01-29
9cf1ab0f,장재준,new_explorer,28,M,SNS,2026-01-03
3ddde40a,안시빈,new_explorer,54,M,email,2025-12-28
35d366cb,송우연,new_explorer,22,F,search_ad,2024-04-17
8d0fc610,윤민호,new_explorer,54,M,referral,2025-09-08
b9e88d27,정진훈,new_explorer,32,M,SNS,2025-10-22
d39125ed,조현율,new_explorer,28,F,email,2024-04-19
78958773,전성호,new_explorer,20,F,search_ad,2025-08-30
fdfd732d,한지빈,new_explorer,20,F,SNS,2024-01-07
5a00fe45,신예준,new_explorer,27,F,SNS,2024-05-26
05aa5ba5,최민율,new_explorer,50,F,search_ad,2024-10-24
6a16f61f,권유윤,new_explorer,34,F,direct,2024-06-30
f0ac1d0f,김지호,new_explorer,38,F,SNS,2026-05-21
2639d514,장태진,new_explorer,18,F,direct,2025-11-01
4d807d79,임예우,new_explorer,33,M,search_ad,2026-05-23
bdb7494d,강민빈,new_explorer,58,F,SNS,2024-05-12
cd0d69b4,최수호,new_explorer,56,F,search_ad,2024-05-01
7545ad59,한유원,new_explorer,53,F,direct,2024-06-01
63bcbbaa,김태영,new_explorer,51,F,email,2025-02-27
5bac867a,윤은진,new_explorer,21,F,SNS,2025-04-04
0af669ea,송현준,new_explorer,60,F,email,2026-03-19
473a4019,한예원,new_explorer,23,F,direct,2024-06-13
a5c24591,이서아,new_explorer,34,F,referral,2025-11-09
a95fd587,박도훈,new_explorer,31,M,SNS,2024-06-15
ca8f0f14,오민은,new_explorer,24,F,SNS,2024-06-14
fa7fa02b,강시린,new_explorer,43,M,SNS,2026-04-15
31e83c41,장시준,new_explorer,33,M,direct,2025-01-25
b19df534,윤서민,new_explorer,43,F,direct,2024-09-16
8a6af00d,서성아,new_explorer,28,M,email,2025-10-21
e8c5fcaf,한다영,new_explorer,35,F,email,2025-04-04
adea7c3c,김우훈,new_explorer,18,F,search_ad,2024-05-20
655aa209,홍재준,new_explorer,35,F,search_ad,2024-10-16
35591479,송도민,new_explorer,24,M,direct,2025-02-18
3fbeed80,임현민,new_explorer,30,F,direct,2026-06-07
a3bf572a,안진현,new_explorer,33,F,search_ad,2024-03-01
5c113e9e,윤예서,new_explorer,44,M,SNS,2025-09-27
529d07bc,신수민,new_explorer,47,F,search_ad,2024-09-01
58459edb,신유현,new_explorer,41,F,referral,2024-01-27
e4507df6,권도안,new_explorer,21,F,search_ad,2024-09-12
b3cba21f,신성안,new_explorer,48,F,email,2026-04-24
a6996c22,안진호,new_explorer,44,F,SNS,2024-09-01
92420c17,윤소서,new_explorer,22,M,search_ad,2025-02-07
1b396f22,조다율,new_explorer,30,F,email,2024-11-09
4e7c0404,임소린,new_explorer,17,F,direct,2026-05-28
ebd0fca4,신진연,new_explorer,34,M,direct,2024-04-23
2505d778,서수경,new_explorer,60,M,search_ad,2024-09-09
954bc242,장소아,new_explorer,30,F,SNS,2024-10-19
6ed110e9,송민은,new_explorer,20,F,SNS,2024-10-26
448e952f,조서영,new_explorer,16,F,SNS,2024-03-04
ecea34ab,강채영,new_explorer,25,F,email,2025-05-22
4fce0797,임수율,new_explorer,20,M,direct,2025-07-17
ab3db4d8,홍하경,new_explorer,44,F,referral,2024-03-29
aa7be179,김다혁,new_explorer,25,M,SNS,2024-10-19
df1028b4,홍성혁,new_explorer,44,F,direct,2026-02-09
f556de42,장태호,new_explorer,51,F,referral,2026-06-01
46464680,오준아,new_explorer,23,M,SNS,2024-08-12
e09822d4,박유린,new_explorer,33,F,direct,2025-03-24
